0,38,1,257,6958,257,9.844357976653697,257.0
0,40,1,204,7011,204,9.0,204.0
0,37,1,293,6922,293,10.136518771331058,293.0
0,39,1,226,6989,226,9.584070796460177,226.0
0,34,1,397,6818,397,12.110831234256928,397.0
0,32,1,475,6740,475,13.789473684210526,475.0
0,31,1,507,6708,507,15.061143984220907,507.0
0,28,1,603,6612,603,20.45771144278607,603.0
0,36,1,321,6894,321,10.697819314641745,321.0
0,30,1,539,6676,539,16.56400742115028,539.0
0,29,1,578,6637,578,18.10726643598616,578.0
0,33,1,439,6776,439,12.824601366742597,439.0
0,35,1,352,6863,352,11.5625,352.0
0,15,1,2415,4800,2415,89.32836438923395,2415.0
0,21,1,1123,6092,1123,40.55031166518255,1123.0
0,10,1,4192,3023,4192,240.55057251908397,4192.0
0,22,1,1018,6197,1018,36.06679764243615,1018.0
0,13,1,3166,4049,3166,123.62097283638661,3166.0
0,12,1,3505,3710,3505,151.65877318116975,3505.0
0,26,1,687,6528,687,25.202328966521105,687.0
0,19,1,1408,5807,1408,51.83522727272727,1408.0
0,27,1,636,6579,636,22.965408805031448,636.0
0,23,1,914,6301,914,32.49234135667396,914.0
0,18,1,1578,5637,1578,59.61089987325729,1578.0
0,20,1,1272,5943,1272,45.11477987421384,1272.0
0,16,1,2059,5156,2059,78.9635745507528,2059.0
0,24,1,808,6407,808,30.376237623762375,808.0
0,25,1,735,6480,735,27.978231292517005,735.0
0,14,1,2768,4447,2768,104.63945086705202,2768.0
0,8,1,4889,2326,4889,409.28533442421764,4889.0
0,11,1,3834,3381,3834,189.8982785602504,3834.0
0,7,1,5198,2017,5198,550.8387841477492,5198.0
0,9,1,4557,2658,4557,309.9192451174018,4557.0
0,17,1,1783,5432,1783,69.13404374649467,1783.0
0,6,1,5548,1667,5548,745.7505407354001,5548.0
0,5,1,5985,1230,5985,1007.1335004177109,5985.0
0,4,1,6333,882,6333,1397.5537659876836,6333.0
0,3,1,6610,605,6610,1983.032980332829,6610.0
0,2,1,6926,289,6926,2839.371354317066,6926.0
0,44,3,147,7068,105,6.557823129251701,49.0
0,41,2,195,7020,151,8.143589743589743,97.5
0,43,2,154,7061,112,7.376623376623376,77.0
0,45,3,137,7078,98,5.927007299270073,45.666666666666664
0,42,2,179,7036,136,7.687150837988827,89.5
0,49,2,93,7122,77,4.903225806451613,46.5
0,50,2,87,7128,74,4.551724137931035,43.5
0,51,3,83,7132,70,4.289156626506024,27.666666666666668
0,47,3,116,7099,89,5.396551724137931,38.666666666666664
0,48,3,104,7111,82,5.076923076923077,34.666666666666664
0,46,3,123,7092,92,5.772357723577236,41.0
0,54,3,55,7160,25,4.327272727272727,18.333333333333332
0,52,2,74,7141,65,4.351351351351352,37.0
0,53,3,61,7154,28,4.327868852459017,20.333333333333332
0,56,4,45,7170,21,4.222222222222222,11.25
0,55,4,50,7165,23,4.28,12.5
0,61,3,27,7188,17,3.925925925925926,9.0
0,63,3,25,7190,16,3.36,8.333333333333334
0,58,3,30,7185,19,4.733333333333333,10.0
0,64,2,23,7192,16,3.3043478260869565,11.5
0,57,4,40,7175,20,4.4,10.0
0,60,3,27,7188,17,4.074074074074074,9.0
0,59,3,29,7186,18,4.482758620689655,9.666666666666666
0,68,2,19,7196,13,2.4210526315789473,9.5
0,66,2,20,7195,14,2.9,10.0
0,65,2,21,7194,14,3.142857142857143,10.5
0,67,2,19,7196,13,2.8421052631578947,9.5
0,69,2,17,7198,11,2.3529411764705883,8.5
0,62,3,26,7189,17,3.6153846153846154,8.666666666666666
0,70,2,16,7199,11,2.0,8.0
0,71,3,16,7199,7,1.75,5.333333333333333
0,73,5,13,7202,4,1.3846153846153846,2.6
0,72,5,15,7200,5,1.4666666666666666,3.0
0,74,4,11,7204,4,1.4545454545454546,2.75
0,75,4,10,7205,4,1.4,2.5
0,76,4,10,7205,4,1.4,2.5
0,77,3,8,7207,4,1.5,2.6666666666666665
0,78,2,6,7209,4,1.6666666666666667,3.0
0,79,2,6,7209,4,1.6666666666666667,3.0
0,82,1,4,7211,4,2.0,4.0
0,81,1,4,7211,4,2.0,4.0
0,80,2,6,7209,4,1.6666666666666667,3.0
0,83,1,4,7211,4,2.0,4.0
0,85,1,4,7211,4,2.0,4.0
0,88,1,4,7211,4,1.5,4.0
0,84,1,4,7211,4,2.0,4.0
0,87,1,4,7211,4,2.0,4.0
0,92,1,4,7211,4,1.5,4.0
0,99,1,4,7211,4,1.5,4.0
0,91,1,4,7211,4,1.5,4.0
0,86,1,4,7211,4,2.0,4.0
0,97,1,4,7211,4,1.5,4.0
0,89,1,4,7211,4,1.5,4.0
0,94,1,4,7211,4,1.5,4.0
0,90,1,4,7211,4,1.5,4.0
0,103,1,2,7213,2,1.0,2.0
0,95,1,4,7211,4,1.5,4.0
0,96,1,4,7211,4,1.5,4.0
0,101,1,2,7213,2,1.0,2.0
0,100,1,4,7211,4,1.5,4.0
0,98,1,4,7211,4,1.5,4.0
0,104,1,2,7213,2,1.0,2.0
0,102,1,2,7213,2,1.0,2.0
0,106,1,2,7213,2,1.0,2.0
0,105,1,2,7213,2,1.0,2.0
0,113,1,2,7213,2,1.0,2.0
0,107,1,2,7213,2,1.0,2.0
0,110,1,2,7213,2,1.0,2.0
0,108,1,2,7213,2,1.0,2.0
0,112,1,2,7213,2,1.0,2.0
0,109,1,2,7213,2,1.0,2.0
0,115,1,2,7213,2,1.0,2.0
0,117,1,2,7213,2,1.0,2.0
0,114,1,2,7213,2,1.0,2.0
0,119,1,2,7213,2,1.0,2.0
